Asensetek Spectrum Genius V3.1.1,,,,,
,1,,,,
File Name,2 channel test-single-20211213-151240,Max.,Min.,Range,Avg.
CIE_x,0.3077,0.307700008,0.307700008,0,0.307700008
CIE_y,0.1671,0.167099997,0.167099997,0,0.167099997
CCT(K),0,0,0,0,0
CRI(Ra),0,0,0,0,0
Re(thru R1~R15),0,0,0,0,0
Illuminance(lx),136,136,136,0,136
Foot Candle(fc),12.6,12.60000038,12.60000038,0,12.60000038
CIE_u',0.2804,0.280400008,0.280400008,0,0.280400008
CIE_v',0.3426,0.342599988,0.342599988,0,0.342599988
?p(nm),468,468,468,0,468
R1,0,0,0,0,0
R2,0,0,0,0,0
R3,0,0,0,0,0
R4,0,0,0,0,0
R5,0,0,0,0,0
R6,0,0,0,0,0
R7,0,0,0,0,0
R8,0,0,0,0,0
R9,0,0,0,0,0
R10,0,0,0,0,0
R11,0,0,0,0,0
R12,0,0,0,0,0
R13,0,0,0,0,0
R14,0,0,0,0,0
R15,0,0,0,0,0
CQS-Qa,0,0,0,0,0
"	Duv",0,0,0,0,0
?d(nm),0,0,0,0,0
Purity(%),0,0,0,0,0
FWHM(nm),30,30,30,0,30
SP ratio,4.65,4.650000095,4.650000095,0,4.650000095
TLCI(Qa),0,0,0,0,0
GAI,0,0,0,0,0
PPFD 400-700nm(µmol/?s),3.84,3.839999914,3.839999914,0,3.839999914
PPFD 380-780nm(µmol/?s),3.89,3.890000105,3.890000105,0,3.890000105
TM-30 Rf,0,0,0,0,0
TM-30 Rg,0,0,0,0,0
GAI BB8,0,0,0,0,0
GAI BB15,0,0,0,0,0
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2),,,,,
380,0.0111878,,,,
381,0.0125747,,,,
382,0.0145322,,,,
383,0.0159763,,,,
384,0.0164347,,,,
385,0.0150266,,,,
386,0.0150528,,,,
387,0.0150321,,,,
388,0.014671,,,,
389,0.014084,,,,
390,0.0136467,,,,
391,0.0137229,,,,
392,0.0138423,,,,
393,0.0138002,,,,
394,0.0136042,,,,
395,0.0136336,,,,
396,0.0139001,,,,
397,0.0139612,,,,
398,0.013855,,,,
399,0.0136156,,,,
400,0.0133827,,,,
401,0.0133288,,,,
402,0.0132403,,,,
403,0.0130623,,,,
404,0.0128585,,,,
405,0.0126208,,,,
406,0.0124175,,,,
407,0.0123398,,,,
408,0.0122964,,,,
409,0.0121759,,,,
410,0.0121605,,,,
411,0.0123024,,,,
412,0.0123115,,,,
413,0.0122686,,,,
414,0.0124346,,,,
415,0.0128127,,,,
416,0.0133444,,,,
417,0.0140624,,,,
418,0.015012,,,,
419,0.0161872,,,,
420,0.0174822,,,,
421,0.0186459,,,,
422,0.0198157,,,,
423,0.0214353,,,,
424,0.0233495,,,,
425,0.0253086,,,,
426,0.0274789,,,,
427,0.0299901,,,,
428,0.0327457,,,,
429,0.0357862,,,,
430,0.0392174,,,,
431,0.0430196,,,,
432,0.047673,,,,
433,0.0533993,,,,
434,0.0601742,,,,
435,0.067998,,,,
436,0.0768336,,,,
437,0.0867619,,,,
438,0.0981342,,,,
439,0.111083,,,,
440,0.125804,,,,
441,0.142477,,,,
442,0.161757,,,,
443,0.184551,,,,
444,0.211123,,,,
445,0.240884,,,,
446,0.275363,,,,
447,0.315209,,,,
448,0.359507,,,,
449,0.408508,,,,
450,0.463044,,,,
451,0.522044,,,,
452,0.585452,,,,
453,0.652865,,,,
454,0.724393,,,,
455,0.800168,,,,
456,0.878974,,,,
457,0.957968,,,,
458,1.0362,,,,
459,1.11438,,,,
460,1.19154,,,,
461,1.26454,,,,
462,1.33146,,,,
463,1.39013,,,,
464,1.44156,,,,
465,1.48488,,,,
466,1.5182,,,,
467,1.54129,,,,
468,1.55303,,,,
469,1.55274,,,,
470,1.54008,,,,
471,1.51585,,,,
472,1.48217,,,,
473,1.44162,,,,
474,1.39665,,,,
475,1.34667,,,,
476,1.29027,,,,
477,1.22783,,,,
478,1.16211,,,,
479,1.09697,,,,
480,1.03345,,,,
481,0.971845,,,,
482,0.912098,,,,
483,0.854466,,,,
484,0.798483,,,,
485,0.74432,,,,
486,0.692053,,,,
487,0.64284,,,,
488,0.597173,,,,
489,0.554697,,,,
490,0.513898,,,,
491,0.474736,,,,
492,0.437991,,,,
493,0.403609,,,,
494,0.371605,,,,
495,0.342447,,,,
496,0.315499,,,,
497,0.290272,,,,
498,0.266675,,,,
499,0.24529,,,,
500,0.225566,,,,
501,0.207729,,,,
502,0.191807,,,,
503,0.177179,,,,
504,0.163595,,,,
505,0.150939,,,,
506,0.139462,,,,
507,0.129246,,,,
508,0.119847,,,,
509,0.111314,,,,
510,0.103442,,,,
511,0.0960174,,,,
512,0.0889821,,,,
513,0.0825162,,,,
514,0.076565,,,,
515,0.0711273,,,,
516,0.0661642,,,,
517,0.0615284,,,,
518,0.0570647,,,,
519,0.053047,,,,
520,0.0493493,,,,
521,0.0458962,,,,
522,0.0427968,,,,
523,0.0403078,,,,
524,0.0383373,,,,
525,0.0365041,,,,
526,0.0346532,,,,
527,0.0328328,,,,
528,0.0310578,,,,
529,0.029409,,,,
530,0.0279949,,,,
531,0.0268248,,,,
532,0.0256586,,,,
533,0.0245721,,,,
534,0.0235501,,,,
535,0.0225212,,,,
536,0.0216367,,,,
537,0.0207213,,,,
538,0.0197385,,,,
539,0.0188496,,,,
540,0.0180694,,,,
541,0.0172525,,,,
542,0.0164941,,,,
543,0.0159767,,,,
544,0.0155636,,,,
545,0.0150302,,,,
546,0.0143492,,,,
547,0.0137327,,,,
548,0.0134368,,,,
549,0.0132949,,,,
550,0.0131144,,,,
551,0.012942,,,,
552,0.0128715,,,,
553,0.0128186,,,,
554,0.0126731,,,,
555,0.0124304,,,,
556,0.0121566,,,,
557,0.0119771,,,,
558,0.0118617,,,,
559,0.0117002,,,,
560,0.0115574,,,,
561,0.0115997,,,,
562,0.0117699,,,,
563,0.0118206,,,,
564,0.0118439,,,,
565,0.0121305,,,,
566,0.0126296,,,,
567,0.0132497,,,,
568,0.0139218,,,,
569,0.0145913,,,,
570,0.015361,,,,
571,0.0163067,,,,
572,0.0173137,,,,
573,0.0182228,,,,
574,0.0192223,,,,
575,0.020481,,,,
576,0.0217955,,,,
577,0.02316,,,,
578,0.0247955,,,,
579,0.0268437,,,,
580,0.02913,,,,
581,0.0315325,,,,
582,0.0339935,,,,
583,0.0368217,,,,
584,0.0405781,,,,
585,0.0451906,,,,
586,0.0502762,,,,
587,0.0558654,,,,
588,0.0620577,,,,
589,0.0687581,,,,
590,0.0761692,,,,
591,0.0848174,,,,
592,0.0947445,,,,
593,0.105945,,,,
