Asensetek Spectrum Genius V3.1.1
,1,
File Name,548-single-20211105-115457,Max.,Min.,Range,Avg.,
CIE_x,0.4150,0.41499999165535,0.41499999165535,0,0.41499999165535,
CIE_y,0.5444,0.544399976730347,0.544399976730347,0,0.544399976730347,
CCT(K),4161,4161,4161,0,4161,
CRI(Ra),46,46,46,0,46,
Re(thru R1~R15),30,30,30,0,30,
Illuminance(lx),373,373,373,0,373,
Foot Candle(fc),34.7,34.7000007629395,34.7000007629395,0,34.7000007629395,
CIE_u',0.1907,0.190699994564056,0.190699994564056,0,0.190699994564056,
CIE_v',0.5630,0.563000023365021,0.563000023365021,0,0.563000023365021,
?p(nm),543,543,543,0,543,
R1,44.0,44,44,0,44,
R2,55.2,55.2000007629395,55.2000007629395,0,55.2000007629395,
R3,59.1,59.0999984741211,59.0999984741211,0,59.0999984741211,
R4,26.6,26.6000003814697,26.6000003814697,0,26.6000003814697,
R5,43.6,43.5999984741211,43.5999984741211,0,43.5999984741211,
R6,49.7,49.7000007629395,49.7000007629395,0,49.7000007629395,
R7,59.7,59.7000007629395,59.7000007629395,0,59.7000007629395,
R8,29.0,29,29,0,29,
R9,-104.9,-104.900001525879,-104.900001525879,0,-104.900001525879,
R10,8.4,8.39999961853027,8.39999961853027,0,8.39999961853027,
R11,8.3,8.30000019073486,8.30000019073486,0,8.30000019073486,
R12,19.1,19.1000003814697,19.1000003814697,0,19.1000003814697,
R13,44.6,44.5999984741211,44.5999984741211,0,44.5999984741211,
R14,80.7,80.6999969482422,80.6999969482422,0,80.6999969482422,
R15,25.7,25.7000007629395,25.7000007629395,0,25.7000007629395,
CQS-Qa,22,22,22,0,22,
	Duv,0.0533,0.0533000007271767,0.0533000007271767,0,0.0533000007271767,
?d(nm),567.4,567.400024414063,567.400024414063,0,567.400024414063,
Purity(%),88,88,88,0,88,
FWHM(nm),114,114,114,0,114,
SP ratio,1.36,1.36000001430511,1.36000001430511,0,1.36000001430511,
TLCI(Qa),15.1,15.1000003814697,15.1000003814697,0,15.1000003814697,
GAI,5.8,5.80000019073486,5.80000019073486,0,5.80000019073486,
PPFD 400-700nm(µmol/?s),3.85,3.84999990463257,3.84999990463257,0,3.84999990463257,
PPFD 380-780nm(µmol/?s),3.99,3.99000000953674,3.99000000953674,0,3.99000000953674,
TM-30 Rf,45,45,45,0,45,
TM-30 Rg,50,50,50,0,50,
GAI BB8,7,7,7,0,7,
GAI BB15,9,9,9,0,9,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2)
380,0.00670215,
381,0.00660724,
382,0.00644749,
383,0.00658679,
